Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
"",African States,,,,,,,
Algeria,X,,,X,X,,X,Yes
Benin,X,X,X,X,X,X,,Yes
Burkina Faso,X,X,,X,,,,Yes
Cameroon,,,,,,X,X,Absent
"CentralAfricanRepublic",,,,,,,,Yes
Comoros,,,,,,,,Yes
Côte d ́Ivoire,,,,,X,,,Yes
Djibouti,,,,X,X,,X,Yes
"EquatorialGuinea",X,X,,X,,,,Yes
Ethiopia,,,,,,,,Abstention
Gambia,,,,,,,,Absent
Guinea,,,,X,,,,Absent
Kenya,X,,,X,,X,,Abstention
Liberia,,X,,,,,,Yes
Madagascar,,X,X,X,,,,Yes
Mali,,X,,,,,,Yes
Mauritius,,X,,,,,,Yes
Mozambique,,,,,,,,Absent
Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
Niger,,,,,,,,Yes
Rwanda,,X,,X,,,,Absent
Senegal,X,,,X,X,X,X,Yes
Sierra Leone,X,,,,,,,Absent
South Africa,,X,,,,,,Yes
Sudan,,,,,,,,Yes
Togo,X,X,,,,,,Yes
Uganda,,X,,X,,,,Absent
Zambia,,X,,,,,,Abstention
Asia-Pacific States,,,,,,,,
Afghanistan,,,,,,,,
Bangladesh,,,,,,,,Yes
"Brunei Darus-salam",,,,,,,,Yes
China,,,,,,,,Yes
"DemocraticPeople'sRepublic ofKorea",,,,,,,,Yes
India,,,,,,,,Yes
Iran,,,,,,,,Yes
Japan,,,,,,,X,Abstention
Kazakhstan,,,,,,,,Abstention
Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
Kyrgyzstan,,,,,,,,Yes
Lebanon,,X,,X,,,,Yes
Maldives,X,X,X,X,X,X,X,Yes
Micronesia,,,,,,,,Absent
Myanmar,,,,,,,,Yes
Nepal,,,,,,,,Yes
Pakistan,,,,,,,,Yes
Palestine,X,,,X,X,X,X,
Philippines,,,,,,,,Absent
"Republic ofKorea",,,,,,,,Abstention
Saudi Arabia,,,,,,,,Yes
"SolomonIslands",,,,,X,,,Yes
Syria,,,,,,,,Yes
Thailand,X,X,,,,,,Yes
Tonga,,,,,,,,Absent
Tuvalu,,,,,,,,Yes
Uzbekistan,,,,,,,,Absent
Viet Nam,,,,,,X,X,Yes
Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
"",Eastern European States,,,,,,,
Albania,,X,X,X,X,X,,Absent
Azerbaijan,,,,,,,X,Yes
"Bosnia &Herzegovina",X,X,X,X,X,X,X,Abstention
Croatia,X,X,X,X,X,X,X,Abstention
Estonia,X,X,X,X,X,X,X,Abstention
Hungary,X,X,X,X,X,X,X,Yes
Lithuania,X,X,X,X,X,X,X,Abstention
Moldova,X,X,X,X,X,X,,Abstention
Poland,X,X,X,X,X,X,X,Abstention
Russia,,,,,,,,Yes
Slovakia,X,X,X,X,X,X,X,Abstention
Ukraine,X,X,X,X,X,,,Abstention
latin American and Caribbean States,,,,,,,,
"Antigua &Barbuda",,,,,,,,Yes
Bahamas,,,,,,,,Yes
Belize,,,,,,,,Absent
Brazil,X,,,,,X,,Yes
Colombia,X,,X,X,X,X,X,Yes
Cuba,,,,,,,,Yes
"DominicanRepublic",,X,X,X,,,,Yes
Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
El Salvador,X,X,X,,X,,,Yes
Grenada,,X,,,,,,Yes
Guayana,,,,,,,,Abstention
Honduras,X,X,X,X,X,X,,Yes
Mexico,X,X,X,X,,,,Yes
Panama,X,X,X,X,X,X,X,Yes
Peru,X,X,X,X,X,X,X,Yes
Saint Lucia,,,,,,,,Yes
Suriname,,,,,,,,Absent
Uruguay,X,X,X,X,X,X,X,Yes
Wetern European and Other States,,,,,,,,
Andorra,X,X,X,X,X,X,X,Yes
Austria,X,X,X,X,X,X,,Abstention
Canada,,,,,,,,Abstention
Finland,X,X,X,X,X,X,X,Yes
Germany,X,X,X,X,X,X,X,Yes
Iceland,X,X,X,X,X,X,X,Abstention
Israel,,,,,,X,,Abstention
Liechtenstein,X,X,X,X,,,,Yes
Malta,X,X,X,X,,,,Abstention
Country,"HRC 27/7(September2014)","GA 68/157(December2013)","HRC 24/18(September2013)","HRC 21/2(September2012)","HRC 18/1(September2011)","HRC 16/2(March 2011)","HRC 15/9(September2010)","GA 64/292(August2010)"
Netherlands,X,X,X,X,X,X,X,Abstention
New Zealand,,,,,,,,Abstention
Portugal,X,X,X,X,X,X,X,Yes
Spain,X,X,X,X,X,X,X,Yes
Switzerland,X,X,X,X,X,X,X,Yes
"UnitedKingdom",,,X,X,,,,Abstention
"",Other,,,,,,,
Kiribati,,,,,,,,Absent
TOTAL,74,90,111*,80,68,62,56,122**
